location,count,lat,lon,geocode_query,display_name,osm_type,osm_id,place_rank,class,type,importance,country,country_code,geocode_status
"Abu Dhabi Region, Abu Dhabi, United Arab Emirates",1,24.4538352,54.3774014,"Abu Dhabi, United Arab Emirates","أبو ظبي, الإمارات العربية المتحدة",relation,4479763,10,boundary,administrative,0.6730854864187279,الإمارات العربية المتحدة,ae,ok
"Alba Iulia, Alba County, Romania",1,46.0682753,23.5664761,"Alba Iulia, Alba, Romania","Alba Iulia, Alba, România",relation,10630982,16,boundary,administrative,0.6041264487401428,România,ro,ok
"Arnsberg, North Rhine-Westphalia, Germany",1,51.4002384,8.0605908,"Arnsberg, North Rhine-Westphalia, Germany","Arnsberg, Hochsauerlandkreis, Nordrhein-Westfalen, Deutschland",relation,157396,16,boundary,administrative,0.548433855527644,Deutschland,de,ok
"Bacau, Bacău County, Romania",2,46.5560493,26.9153557,"Bacau, Romania","Bacău, România",relation,10715726,16,boundary,administrative,0.5847066979273076,România,ro,ok
"Bicester, Oxfordshire, England, United Kingdom",1,51.8988385,-1.1518770,"Bicester, Oxfordshire, United Kingdom","Bicester, Cherwell, Oxfordshire, England, United Kingdom",relation,4169918,20,boundary,administrative,0.47141288733854275,United Kingdom,gb,ok
"Bistrița, Bistrița-Năsăud County, Romania",1,47.1327012,24.4963949,"Bistrița, Bistrița-Năsăud, Romania","Bistrița, Bistrița-Năsăud, 420048, România",node,128561166,16,place,city,0.5627872217319319,România,ro,ok
"Bistrița-Năsăud County, Romania",1,47.1772548,24.5411592,"Bistrița-Năsăud, Romania","Bistrița-Năsăud, România",relation,55466,8,boundary,administrative,0.5721257899105512,România,ro,ok
"Blaj, Alba County, Romania",2,46.1741571,23.9224826,"Blaj, Alba, Romania","Blaj, Alba, România",relation,10631057,16,boundary,administrative,0.5444946754296744,România,ro,ok
"Bragadiru, Ilfov County, Romania",1,44.3735120,25.9804935,"Bragadiru, Ilfov, Romania","Bragadiru, Ilfov, România",relation,9849620,16,boundary,administrative,0.4332896429128263,România,ro,ok
"Brașov, Brașov, Romania",2,45.6525105,25.6105654,"Brașov, Romania","Brașov, Zona Metropolitană Brașov, Brașov, România",relation,10367676,16,boundary,administrative,0.6513230783481843,România,ro,ok
"Bucharest, Bucharest, Romania",26,44.4361414,26.1026840,"Bucharest, Romania","București, România",relation,377733,8,boundary,administrative,0.761229833694605,România,ro,ok
"Buftea, Ilfov County, Romania",1,44.5598204,25.9498918,"Buftea, Ilfov, Romania","Buftea, Ilfov, România",relation,9851026,16,boundary,administrative,0.5030996920578263,România,ro,ok
"Buzău, Buzău County, Romania",6,45.2692582,26.7748173,"Buzău, Romania","Buzău, România",relation,2355511,8,boundary,administrative,0.5719044132463098,România,ro,ok
"Campina, Prahova, Romania",1,45.1256956,25.7348044,"Campina, Prahova, Romania","Câmpina, Prahova, 105600, România",relation,14701878,16,boundary,administrative,0.5099454369511308,România,ro,ok
"Chiajna, Ilfov County, Romania",1,44.4588774,25.9778979,"Chiajna, Ilfov, Romania","Chiajna, Ilfov, România",relation,9849584,16,boundary,administrative,0.3463314325418498,România,ro,ok
"Cluj-Napoca, Cluj County, Romania",2,46.7693790,23.5899542,"Cluj-Napoca, Cluj, Romania","Cluj-Napoca, Zona Metropolitană Cluj, Cluj, România",relation,3277038,16,boundary,administrative,0.6855720334805757,România,ro,ok
"Codlea, Brașov, Romania",1,45.6924431,25.4490362,"Codlea, Brașov, Romania","Codlea, Zona Metropolitană Brașov, Brașov, 505100, România",relation,10515006,16,boundary,administrative,0.47141288733854275,România,ro,ok
"Constanța, Constanța, Romania",2,44.1767161,28.6507598,"Constanța, Romania","Constanța, Zona Metropolitană Constanța, Constanța, România",relation,10487782,16,boundary,administrative,0.6242787851555099,România,ro,ok
"Cook County, Illinois, United States",1,41.8197385,-87.7565250,"Cook, Illinois, United States","Cook County, Illinois, United States",relation,122576,12,boundary,administrative,0.611390963976843,United States,us,ok
